Week,ErrorType,Scope,ErrorID,Message,AffectedSites,NumSites,TotalOccurrences
2024-W33,21104_Le local n'existe pas.,Patrimoine - PDS Eau Froide,21104,Le local n'existe pas.,AF796;AI362;AI400;AI428;AI888;AJ235;BI431;BJ407;BK219;BK970;BL652;BR436;CA654;CB680;CD914;CE663;CJ395;CK193;CK194;CL841;CM005;CR387,22,92
2024-W33,40722_Le type de Gestion de Mutation ECS et Eau Chaude doivent être identiques.,Valorisation - Répartition,40722,Le type de Gestion de Mutation ECS et Eau Chaude doivent être identiques.,AF796;BQ302;CK372;CM372;CT454;CT668;CT792;CW250;DB676,9,23
2024-W33,"30115_Seuls les fluides eau froide, eau chaude et CET peuvent faire partie d'une même PCC.",Exploitation - Période consommation,30115,"Seuls les fluides eau froide, eau chaude et CET peuvent faire partie d'une même PCC.",AF872;BF886;BI043;BL754;BN136;BO289;BP218;BP583;BP933;CB808;CC515;CD101;CE338;CF070;CF113;CF229;CG745;CG797;CI595;CI722;CI996;CJ057;CL135;CO721;CQ837;CV600;CZ671,27,29
2024-W33,10724_Les périodes de consommation ne sont pas renseignées.,Contrat - Eau Froide,10724,Les périodes de consommation ne sont pas renseignées.,BI043;BN136;CF113;CI722;CI996,5,5
2024-W33,21303_Le compteur n'existe pas.,Patrimoine - PDS Accessoire,21303,Le compteur n'existe pas.,AL246;BI692;BJ296;BK256;BM096;BN136;BN370;BO913;BP038;BP267;BV917;CA008;CB454;CG346;CG401;CH817;CI163;CI957;CI996;CJ370;CL869;CQ151;CZ842,23,24
2024-W33,23008_Le PDS EF possède une dépose définitive du compteur,Patrimoine - PDS Evènements (Codes Obs),23008,Le PDS EF possède une dépose définitive du compteur,BK123;BK124;BM364;CI618,4,4
2024-W33,21360_Le PDS général doit avoir au moins un compteur historique dans l'onglet S_PdsGenerauxCompteurs.,Patrimoine - PDS Général,21360,Le PDS général doit avoir au moins un compteur historique dans l'onglet S_PdsGenerauxCompteurs.,BK130,1,1
2024-W33,23204_Le PDS virtuel n'est ni un RFC ni un PAS.,Patrimoine - PDS Evènements (Codes Obs),23204,Le PDS virtuel n'est ni un RFC ni un PAS.,BK130;CC448;CC503,3,6
2024-W33,30114_Les périodes de consommation doivent être consécutives.,Exploitation - Exercice Comptable,30114,Les périodes de consommation doivent être consécutives.,BL754;BP218;CC515,3,6
2024-W33,40017_Le traitement correspondant à la période de consommation est manquant.,Exploitation - Période consommation,40017,Le traitement correspondant à la période de consommation est manquant.,BL754;CC515;CF070;CG745;CO721;CS021;CS494,7,7
2024-W33,21405_Le pds n'existe pas.,Patrimoine - Echec Maintenance,21405,Le pds n'existe pas.,BK259;BK294;BK357;BM061;BM070;BM093;BM497;BM591;BO289;BO959;BQ323;BQ404,12,12
2024-W33,40019_Les périodes de chauffe ne doivent pas se chevaucher ou être contigüe.,Valorisation - Traitement,40019,Les périodes de chauffe ne doivent pas se chevaucher ou être contigüe.,BO988;BP528;BP550;CO047;CT987;DA015;DB676,7,12
2024-W33,10702_Le modele d'appareil préconisé doit être renseigné.,Contrat - Eau Froide,10702,Le modele d'appareil préconisé doit être renseigné.,BP071;CK372;CL035,3,3
2024-W33,10727_En présence d'une prestation de relève il doit exister au moins un device actif.,Contrat - Eau Froide,10727,En présence d'une prestation de relève il doit exister au moins un device actif.,BP071;CK372;CL035,3,3
2024-W33,"40014_Une consommation doit être fournie pour le scope Traitement, Local, Fluide, Distribution.",Valorisation - Consommation Local,40014,"Une consommation doit être fournie pour le scope Traitement, Local, Fluide, Distribution.",BP188;CB062,2,16
2024-W33,21129_Le modèle de l'appareil renseigné est pour le fluide EC qui ne correspond pas au fluide du PDS (EF).,Patrimoine - PDS Eau Froide,21129,Le modèle de l'appareil renseigné est pour le fluide EC qui ne correspond pas au fluide du PDS (EF).,AF872;BE228;BN371;BN455;BP477;BP523;BQ599;CB062,8,10
2024-W33,40810_Le montant doit être renseigné.,Valorisation - Répartition Ligne Frais,40810,Le montant doit être renseigné.,BL123;BP627;BP629;BP640;BP641;BP642;BP792;BP795;BQ301;BQ302;BQ547;BR436;BZ871;CC515;CD312;CE338;CG015;CG800;CH068;CH497;CI916;CJ138;CJ395;CJ433;CJ717;CO527;CP678,27,46
2024-W33,21004_Le local n'existe pas.,Patrimoine - PDS Eau Chaude,21004,Le local n'existe pas.,BR436;CB680;CD914;CR387,4,11
2024-W33,30116_Il doit exister une prestation de relève pour les fluides présents dans une PCC.,Exploitation - Période consommation,30116,Il doit exister une prestation de relève pour les fluides présents dans une PCC.,BK404;BP973;CB794;CD682;CI535,5,42
2024-W33,10713_En présence d'une prestation de relève il doit exister une prestation de pose.,Contrat - Eau Froide,10713,En présence d'une prestation de relève il doit exister une prestation de pose.,CM005,1,1
2024-W33,10237_Le site possède un contrat suspendu.,Contrat - Infos générales,10237,Le site possède un contrat suspendu.,CP319,1,1
2024-W33,40005_Il doit y avoir au moins une période de chauffe renseignée lorsque le traitement concerne du RFC et/ou du CET.,Valorisation - Traitement,40005,Il doit y avoir au moins une période de chauffe renseignée lorsque le traitement concerne du RFC et/ou du CET.,CJ138;CV263,2,2
2024-W33,30214_Au moins un fluide doit être renseigné pour la période de répartition.,Exploitation - Période répartition,30214,Au moins un fluide doit être renseigné pour la période de répartition.,DB804,1,1
2024-W33,"_Une erreur est survenue lors de la validation du site ""CM916"" : Invalid object name 'dwh.ContratSite'.",,,"Une erreur est survenue lors de la validation du site ""CM916"" : Invalid object name 'dwh.ContratSite'.",CM916,1,1
2024-W33,"_Une erreur est survenue lors de la validation du site ""CS096"" : Invalid object name 'dwh.ContratSite'.",,,"Une erreur est survenue lors de la validation du site ""CS096"" : Invalid object name 'dwh.ContratSite'.",CS096,1,1
